statecode,countyname,bldg_count
MD,Prince George's County,7317
MD,Queen Anne's County,467
MD,Somerset County,162
MD,St. Mary's County,937
MD,Talbot County,531
MD,Washington County,2814
MD,Wicomico County,982
MD,Worcester County,669
ME,Androscoggin County,1915
ME,Aroostook County,575
ME,Cumberland County,5433
ME,Franklin County,258
ME,Hancock County,550
ME,Kennebec County,2046
ME,Knox County,559
ME,Lincoln County,550
ME,Oxford County,637
ME,Penobscot County,1422
ME,Piscataquis County,139
ME,Sagadahoc County,458
ME,Somerset County,447
ME,Waldo County,248
ME,Washington County,276
ME,York County,3374
MI,Alcona County,86
MI,Alger County,127
MI,Allegan County,1287
MI,Alpena County,265
MI,Antrim County,240
MI,Arenac County,151
MI,Baraga County,63
MI,Barry County,318
MI,Bay County,1018
MI,Benzie County,240
MI,Berrien County,1943
MI,Branch County,350
MI,Calhoun County,1889
MI,Cass County,413
MI,Charlevoix County,247
MI,Cheboygan County,286
MI,Chippewa County,349
MI,Clare County,284
MI,Clinton County,1182
MI,Crawford County,145
MI,Delta County,331
MI,Dickinson County,355
MI,Eaton County,1841
MI,Emmet County,387
MI,Genesee County,5046
MI,Gladwin County,179
MI,Gogebic County,187
MI,Grand Traverse County,1299
MI,Gratiot County,323
MI,Hillsdale County,403
MI,Houghton County,280
MI,Huron County,341
MI,Ingham County,5542
MI,Ionia County,691
MI,Iosco County,336
MI,Iron County,158
MI,Isabella County,623
MI,Jackson County,2195
MI,Kalamazoo County,3748
MI,Kalkaska County,172
MI,Kent County,10595
MI,Keweenaw County,22
MI,Lake County,100
MI,Lapeer County,1097
MI,Leelanau County,218
MI,Lenawee County,991
MI,Livingston County,2244
MI,Luce County,52
MI,Mackinac County,198
MI,Macomb County,12283
MI,Manistee County,332
MI,Marquette County,631
MI,Mason County,355
MI,Mecosta County,387
MI,Menominee County,145
MI,Midland County,665
MI,Missaukee County,90
MI,Monroe County,1617
MI,Montcalm County,618
MI,Montmorency County,83
MI,Muskegon County,2397
MI,Newaygo County,372
MI,Oakland County,18963
MI,Oceana County,220
MI,Ogemaw County,213
MI,Ontonagon County,84
MI,Osceola County,194
MI,Oscoda County,87
MI,Otsego County,313
MI,Ottawa County,3644
MI,Presque Isle County,93
MI,Roscommon County,476
MI,Saginaw County,2009
MI,Sanilac County,340
MI,Schoolcraft County,89
MI,Shiawassee County,592
MI,St. Clair County,1591
MI,St. Joseph County,661
MI,Tuscola County,376
MI,Van Buren County,724
MI,Washtenaw County,5078
MI,Wayne County,26092
MI,Wexford County,402
MN,Aitkin County,108
MN,Anoka County,3811
MN,Becker County,256
MN,Beltrami County,327
MN,Benton County,803
MN,Big Stone County,54
MN,Blue Earth County,723
MN,Brown County,209
MN,Carlton County,398
MN,Carver County,1195
MN,Cass County,245
MN,Chippewa County,133
MN,Chisago County,771
MN,Clay County,513
MN,Clearwater County,32
MN,Cook County,61
MN,Cottonwood County,102
MN,Crow Wing County,844
MN,Dakota County,4123
MN,Dodge County,133
MN,Douglas County,470
MN,Faribault County,144
MN,Fillmore County,188
MN,Freeborn County,251
MN,Goodhue County,414
MN,Grant County,48
MN,Hennepin County,16155
MN,Houston County,82
MN,Hubbard County,153
MN,Isanti County,496
MN,Itasca County,336
MN,Jackson County,69
MN,Kanabec County,153
MN,Kandiyohi County,573
MN,Kittson County,25
MN,Koochiching County,104
MN,Lac qui Parle County,45
MN,Lake County,117
MN,Lake of the Woods County,31
MN,Le Sueur County,300
MN,Lincoln County,25
MN,Lyon County,180
MN,Mahnomen County,26
MN,Marshall County,39
MN,Martin County,153
MN,McLeod County,742
MN,Meeker County,332
MN,Mille Lacs County,302
MN,Morrison County,292
MN,Mower County,242
MN,Murray County,34
MN,Nicollet County,234
MN,Nobles County,126
MN,Norman County,39
MN,Olmsted County,1211
MN,Otter Tail County,498
MN,Pennington County,96
MN,Pine County,305
MN,Pipestone County,82
MN,Polk County,256
MN,Pope County,95
MN,Ramsey County,7578
MN,Red Lake County,15
MN,Redwood County,110
MN,Renville County,109
MN,Rice County,867
MN,Rock County,59
MN,Roseau County,86
MN,Scott County,1410
MN,Sherburne County,992
MN,Sibley County,171
MN,St. Louis County,2636
MN,Stearns County,2703
MN,Steele County,355
MN,Stevens County,65
MN,Swift County,79
MN,Todd County,152
MN,Traverse County,29
MN,Wabasha County,161
MN,Wadena County,112
MN,Waseca County,148
MN,Washington County,2151
MN,Watonwan County,111
MN,Wilkin County,37
MN,Winona County,316
MN,Wright County,1861
MN,Yellow Medicine County,63
MO,Adair County,243
MO,Andrew County,86
MO,Atchison County,58
MO,Audrain County,207
MO,Barry County,281
MO,Barton County,59
MO,Bates County,129
MO,Benton County,150
MO,Bollinger County,32
MO,Boone County,1067
MO,Buchanan County,1060
MO,Butler County,354
MO,Caldwell County,37
MO,Callaway County,226
MO,Camden County,484
MO,Cape Girardeau County,707
MO,Carroll County,79
MO,Carter County,22
MO,Cass County,943
MO,Cedar County,97
MO,Chariton County,49
MO,Christian County,778
MO,Clark County,25
MO,Clay County,2632
MO,Clinton County,120
MO,Cole County,799
MO,Cooper County,120
MO,Crawford County,196
MO,Dade County,39
MO,Dallas County,131
MO,Daviess County,50
MO,DeKalb County,77
MO,Dent County,72
MO,Douglas County,49
MO,Dunklin County,196
MO,Franklin County,1126
MO,Gasconade County,137
MO,Gentry County,56
MO,Greene County,4221
MO,Grundy County,81
MO,Harrison County,67
MO,Henry County,213
MO,Hickory County,57
MO,Holt County,46
MO,Howard County,44
MO,Howell County,284
MO,Iron County,45
MO,Jackson County,12763
MO,Jasper County,1223
MO,Jefferson County,1540
MO,Johnson County,370
MO,Knox County,31
MO,Laclede County,291
MO,Lafayette County,274
MO,Lawrence County,326
MO,Lewis County,39
MO,Lincoln County,298
MO,Linn County,118
MO,Livingston County,119
MO,Macon County,134
MO,Madison County,84
MO,Maries County,56
MO,Marion County,240
MO,McDonald County,114
MO,Mercer County,16
MO,Miller County,192
MO,Mississippi County,61
MO,Moniteau County,61
MO,Monroe County,50
MO,Montgomery County,100
MO,Morgan County,162
MO,New Madrid County,154
MO,Newton County,467
MO,Nodaway County,137
MO,Oregon County,39
MO,Osage County,48
MO,Ozark County,53
MO,Pemiscot County,76
MO,Perry County,104
MO,Pettis County,428
MO,Phelps County,487
MO,Pike County,140
MO,Platte County,979
MO,Polk County,278
MO,Pulaski County,249
MO,Putnam County,19
MO,Ralls County,60
MO,Randolph County,268
MO,Ray County,115
MO,Reynolds County,16
MO,Ripley County,53
MO,Saline County,136
MO,Schuyler County,24
MO,Scotland County,21
MO,Scott County,311
MO,Shannon County,30
MO,Shelby County,35
MO,St. Charles County,3751
MO,St. Clair County,56
MO,St. Francois County,497
MO,St. Louis County,11738
MO,St. Louis city,7136
MO,Ste. Genevieve County,105
MO,Stoddard County,147
MO,Stone County,290
MO,Sullivan County,29
MO,Taney County,933
MO,Texas County,119
MO,Vernon County,124
MO,Warren County,301
MO,Washington County,76
MO,Wayne County,40
MO,Webster County,271
MO,Worth County,8
MO,Wright County,165
MS,Adams County,308
MS,Alcorn County,184
MS,Amite County,35
MS,Attala County,74
MS,Benton County,19
MS,Bolivar County,113
MS,Calhoun County,46
MS,Carroll County,11
MS,Chickasaw County,74
MS,Choctaw County,14
MS,Claiborne County,23
MS,Clarke County,65
MS,Clay County,91
MS,Coahoma County,160
MS,Copiah County,150
MS,Covington County,59
MS,DeSoto County,2186
MS,Forrest County,917
MS,Franklin County,12
MS,George County,117
MS,Greene County,29
MS,Grenada County,146
MS,Hancock County,336
MS,Harrison County,2163
MS,Hinds County,4104
MS,Holmes County,58
MS,Humphreys County,20
MS,Issaquena County,1
MS,Itawamba County,64
MS,Jackson County,2166
MS,Jasper County,42
MS,Jefferson County,10
MS,Jefferson Davis County,43
MS,Jones County,394
MS,Kemper County,18
MS,Lafayette County,351
MS,Lamar County,463
MS,Lauderdale County,631
MS,Lawrence County,45
MS,Leake County,83
MS,Lee County,942
MS,Leflore County,173
MS,Lincoln County,135
MS,Lowndes County,343
MS,Madison County,1371
MS,Marion County,141
MS,Marshall County,323
MS,Monroe County,151
MS,Montgomery County,38
MS,Neshoba County,109
MS,Newton County,71
MS,Noxubee County,34
MS,Oktibbeha County,272
MS,Panola County,459
MS,Pearl River County,310
MS,Perry County,38
MS,Pike County,257
MS,Pontotoc County,110
MS,Prentiss County,91
MS,Quitman County,22
MS,Rankin County,1803
MS,Scott County,120
MS,Sharkey County,15
MS,Simpson County,156
MS,Smith County,31
MS,Stone County,83
MS,Sunflower County,78
MS,Tallahatchie County,26
MS,Tate County,300
MS,Tippah County,71
MS,Tishomingo County,76
MS,Tunica County,254
MS,Union County,131
MS,Walthall County,47
MS,Warren County,505
MS,Washington County,240
MS,Wayne County,77
MS,Webster County,34
MS,Wilkinson County,34
MS,Winston County,70
MS,Yalobusha County,59
MS,Yazoo County,86
MT,Beaverhead County,115
MT,Big Horn County,71
MT,Blaine County,18
MT,Broadwater County,36
MT,Carbon County,96
MT,Carter County,3
MT,Cascade County,622
MT,Chouteau County,43
MT,Custer County,70
MT,Daniels County,7
MT,Dawson County,67
MT,Deer Lodge County,72
MT,Fallon County,22
MT,Fergus County,64
MT,Flathead County,1169
MT,Gallatin County,1159
MT,Garfield County,3
MT,Glacier County,40
MT,Golden Valley County,3
MT,Granite County,36
MT,Hill County,65
MT,Jefferson County,43
MT,Judith Basin County,10
MT,Lake County,234
MT,Lewis and Clark County,661
MT,Liberty County,10
MT,Lincoln County,143
MT,Madison County,114
MT,McCone County,11
MT,Meagher County,12
MT,Mineral County,41
MT,Missoula County,1132
MT,Musselshell County,27
MT,Park County,171
MT,Petroleum County,3
MT,Phillips County,31
MT,Pondera County,30
MT,Powder River County,7
MT,Powell County,44
MT,Prairie County,5
MT,Ravalli County,428
MT,Richland County,100
MT,Roosevelt County,36
MT,Rosebud County,36
MT,Sanders County,116
MT,Sheridan County,20
MT,Silver Bow County,334
MT,Stillwater County,56
MT,Sweet Grass County,44
MT,Teton County,31
MT,Toole County,50
MT,Treasure County,2
MT,Valley County,38
MT,Wheatland County,17
MT,Wibaux County,9
MT,Yellowstone County,1830
NC,Alamance County,2460
NC,Alexander County,209
NC,Alleghany County,93
NC,Anson County,203
NC,Ashe County,188
NC,Avery County,130
NC,Beaufort County,344
NC,Bertie County,81
NC,Bladen County,308
NC,Brunswick County,2050
NC,Buncombe County,4187
NC,Burke County,743
NC,Cabarrus County,2487
NC,Caldwell County,669
NC,Camden County,31
NC,Carteret County,1158
NC,Caswell County,70
NC,Catawba County,2436
NC,Chatham County,492
NC,Cherokee County,283
NC,Chowan County,99
NC,Clay County,77
NC,Cleveland County,1283
NC,Columbus County,959
NC,Craven County,724
NC,Cumberland County,4082
NC,Currituck County,259
NC,Dare County,449
NC,Davidson County,2089
NC,Davie County,421
NC,Duplin County,655
NC,Durham County,4424
NC,Edgecombe County,348
NC,Forsyth County,6392
NC,Franklin County,411
NC,Gaston County,3427
NC,Gates County,43
NC,Graham County,44
NC,Granville County,314
NC,Greene County,60
NC,Guilford County,9822
NC,Halifax County,411
NC,Harnett County,779
NC,Haywood County,703
NC,Henderson County,1161
NC,Hertford County,198
NC,Hoke County,169
NC,Hyde County,33
NC,Iredell County,2280
NC,Jackson County,342
NC,Johnston County,2399
NC,Jones County,40
NC,Lee County,640
NC,Lenoir County,528
NC,Lincoln County,1137
NC,Macon County,319
NC,Madison County,107
NC,Martin County,171
NC,McDowell County,268
NC,Mecklenburg County,14775
NC,Mitchell County,120
NC,Montgomery County,147
NC,Moore County,814
NC,Nash County,955
NC,New Hanover County,4892
NC,Northampton County,86
NC,Onslow County,1687
NC,Orange County,1286
NC,Pamlico County,69
NC,Pasquotank County,453
NC,Pender County,732
NC,Perquimans County,47
NC,Person County,278
NC,Pitt County,1555
NC,Polk County,151
NC,Randolph County,1972
NC,Richmond County,336
NC,Robeson County,1484
NC,Rockingham County,1047
NC,Rowan County,1555
NC,Rutherford County,716
NC,Sampson County,667
NC,Scotland County,457
NC,Stanly County,669
NC,Stokes County,248
NC,Surry County,831
NC,Swain County,93
NC,Transylvania County,275
NC,Tyrrell County,17
NC,Union County,2430
NC,Vance County,431
NC,Wake County,12553
NC,Warren County,70
NC,Washington County,78
NC,Watauga County,633
NC,Wayne County,1023
NC,Wilkes County,509
NC,Wilson County,798
NC,Yadkin County,276
NC,Yancey County,79
ND,Adams County,16
ND,Barnes County,87
ND,Benson County,19
ND,Billings County,4
ND,Bottineau County,66
ND,Bowman County,39
ND,Burke County,22
ND,Burleigh County,896
ND,Cass County,2111
ND,Cavalier County,21
ND,Dickey County,42
ND,Divide County,14
ND,Dunn County,87
ND,Eddy County,15
ND,Emmons County,24
ND,Foster County,29
ND,Golden Valley County,24
ND,Grand Forks County,642
ND,Grant County,8
ND,Griggs County,13
ND,Hettinger County,14
ND,Kidder County,13
ND,LaMoure County,25
ND,Logan County,4
ND,McHenry County,31
ND,McIntosh County,15
ND,McKenzie County,266
ND,McLean County,60
ND,Mercer County,61
ND,Morton County,239
ND,Mountrail County,107
ND,Nelson County,17
ND,Oliver County,2
ND,Pembina County,40
ND,Pierce County,44
ND,Ramsey County,127
ND,Ransom County,31
ND,Renville County,18
ND,Richland County,124
ND,Rolette County,34
ND,Sargent County,22
ND,Sheridan County,7
ND,Sioux County,5
ND,Slope County,1
ND,Stark County,357
ND,Steele County,6
ND,Stutsman County,180
ND,Towner County,8
ND,Traill County,46
ND,Walsh County,66
ND,Ward County,687
ND,Wells County,39
ND,Williams County,607
NE,Adams County,165
NE,Antelope County,30
NE,Banner County,1
NE,Boone County,31
NE,Box Butte County,56
NE,Boyd County,10
NE,Brown County,31
NE,Buffalo County,326
NE,Burt County,48
NE,Butler County,40
NE,Cass County,334
NE,Cedar County,44
NE,Chase County,17
NE,Cherry County,31
NE,Cheyenne County,104
NE,Clay County,23
NE,Colfax County,28
NE,Cuming County,50
NE,Custer County,44
NE,Dakota County,172
NE,Dawes County,74
NE,Dawson County,153
NE,Deuel County,11
NE,Dixon County,14
NE,Dodge County,366
NE,Douglas County,9045
NE,Dundy County,7
NE,Fillmore County,48
NE,Franklin County,15
NE,Frontier County,9
NE,Furnas County,31
NE,Gage County,144
NE,Garden County,9
NE,Garfield County,10
NE,Gosper County,5
NE,Grant County,4
NE,Greeley County,8
NE,Hall County,443
NE,Hamilton County,41
NE,Harlan County,26
NE,Hayes County,1
NE,Hitchcock County,13
NE,Holt County,66
NE,Hooker County,3
NE,Howard County,26
NE,Jefferson County,33
NE,Johnson County,22
NE,Kearney County,24
NE,Keith County,90
NE,Keya Paha County,1
NE,Kimball County,32
NE,Knox County,39
NE,Lancaster County,5057
NE,Lincoln County,279
NE,Logan County,2
NE,Madison County,291
NE,McPherson County,1
NE,Merrick County,39
NE,Morrill County,20
NE,Nance County,13
NE,Nemaha County,68
NE,Nuckolls County,24
NE,Otoe County,180
NE,Pawnee County,10
NE,Perkins County,15
NE,Phelps County,72
NE,Pierce County,38
NE,Platte County,206
NE,Polk County,23
NE,Red Willow County,128
NE,Richardson County,55
NE,Rock County,6
NE,Saline County,66
NE,Sarpy County,1965
NE,Saunders County,163
NE,Scotts Bluff County,267
NE,Seward County,107
NE,Sheridan County,27
NE,Sherman County,17
NE,Sioux County,3
NE,Stanton County,21
NE,Thayer County,27
NE,Thomas County,4
NE,Thurston County,13
NE,Valley County,26
NE,Washington County,345
NE,Wayne County,46
NE,Webster County,13
NE,Wheeler County,2
NE,York County,149
NH,Belknap County,858
NH,Carroll County,764
NH,Cheshire County,613
NH,Coos County,320
NH,Grafton County,886
NH,Hillsborough County,5096
NH,Merrimack County,1826
NH,Rockingham County,4328
NH,Strafford County,1586
NH,Sullivan County,341
NJ,Atlantic County,3269
NJ,Bergen County,11910
NJ,Burlington County,4423
NJ,Camden County,7887
NJ,Cape May County,1402
NJ,Cumberland County,1530
NJ,Essex County,12009
NJ,Gloucester County,3649
NJ,Hudson County,14864
NJ,Hunterdon County,1398
NJ,Mercer County,4451
NJ,Middlesex County,9757
NJ,Monmouth County,8551
NJ,Morris County,5437
NJ,Ocean County,4382
NJ,Passaic County,6118
NJ,Salem County,607
NJ,Somerset County,3692
NJ,Sussex County,1413
NJ,Union County,8727
NJ,Warren County,1324
NM,Bernalillo County,12284
NM,Catron County,6
NM,Chaves County,374
NM,Cibola County,190
NM,Colfax County,171
NM,Curry County,322
NM,De Baca County,4
NM,Do├▒a Ana County,1973
NM,Eddy County,431
NM,Grant County,279
NM,Guadalupe County,40
NM,Harding County,4
NM,Hidalgo County,38
NM,Lea County,493
NM,Lincoln County,355
NM,Los Alamos County,119
NM,Luna County,235
NM,McKinley County,220
NM,Mora County,6
NM,Otero County,536
NM,Quay County,108
NM,Rio Arriba County,236
NM,Roosevelt County,83
NM,San Juan County,854
NM,San Miguel County,169
NM,Sandoval County,1003
NM,Santa Fe County,2032
NM,Sierra County,190
NM,Socorro County,116
NM,Taos County,245
NM,Torrance County,195
NM,Union County,26
NM,Valencia County,962
NV,Carson City,855
NV,Churchill County,223
NV,Clark County,21769
NV,Douglas County,460
NV,Elko County,384
NV,Esmeralda County,12
NV,Eureka County,22
NV,Humboldt County,139
NV,Lander County,62
NV,Lincoln County,31
NV,Lyon County,499
NV,Mineral County,45
NV,Nye County,336
NV,Pershing County,62
NV,Storey County,148
NV,Washoe County,6519
NV,White Pine County,119
NY,Albany County,6355
NY,Allegany County,343
NY,Bronx County,14226
NY,Broome County,2916
NY,Cattaraugus County,753
NY,Cayuga County,976
NY,Chautauqua County,1382
NY,Chemung County,917
NY,Chenango County,407
NY,Clinton County,693
NY,Columbia County,1229
NY,Cortland County,491
NY,Delaware County,402
NY,Dutchess County,3195
NY,Erie County,11597
NY,Essex County,443
NY,Franklin County,373
NY,Fulton County,1128
NY,Genesee County,713
NY,Greene County,1123
NY,Hamilton County,73
NY,Herkimer County,670
NY,Jefferson County,1607
NY,Kings County,45666
NY,Lewis County,148
NY,Livingston County,618
NY,Madison County,669
NY,Monroe County,10316
NY,Montgomery County,951
NY,Nassau County,13425
NY,New York County,32171
NY,Niagara County,2308
NY,Oneida County,3568
NY,Onondaga County,7536
NY,Ontario County,1688
NY,Orange County,4110
NY,Orleans County,462
NY,Oswego County,1343
NY,Otsego County,1172
NY,Putnam County,850
NY,Queens County,24638
NY,Rensselaer County,2632
NY,Richmond County,4589
NY,Rockland County,2725
NY,Saratoga County,3105
NY,Schenectady County,3005
NY,Schoharie County,468
NY,Schuyler County,155
NY,Seneca County,370
NY,St. Lawrence County,809
NY,Steuben County,798
NY,Suffolk County,18692
NY,Sullivan County,782
NY,Tioga County,311
NY,Tompkins County,821
NY,Ulster County,2591
NY,Warren County,1747
NY,Washington County,892
NY,Wayne County,1072
NY,Westchester County,11567
NY,Wyoming County,327
NY,Yates County,186
OH,Adams County,176
OH,Allen County,1389
OH,Ashland County,453
OH,Ashtabula County,1113
OH,Athens County,376
OH,Auglaize County,371
OH,Belmont County,592
OH,Brown County,327
OH,Butler County,4667
OH,Carroll County,218
OH,Champaign County,276
OH,Clark County,3064
OH,Clermont County,2141
OH,Clinton County,370
OH,Columbiana County,1501
OH,Coshocton County,228
OH,Crawford County,328
OH,Cuyahoga County,18472
OH,Darke County,432
OH,Defiance County,432
OH,Delaware County,1797
OH,Erie County,1983
OH,Fairfield County,1449
OH,Fayette County,251
OH,Franklin County,20330
OH,Fulton County,708
OH,Gallia County,221
OH,Geauga County,1229
OH,Greene County,2642
OH,Guernsey County,397
OH,Hamilton County,16932
OH,Hancock County,1599
OH,Hardin County,202
OH,Harrison County,115
OH,Henry County,426
OH,Highland County,248
OH,Hocking County,147
OH,Holmes County,193
OH,Huron County,1021
OH,Jackson County,202
OH,Jefferson County,586
OH,Knox County,375
OH,Lake County,3684
OH,Lawrence County,955
OH,Licking County,1769
OH,Logan County,435
OH,Lorain County,4097
OH,Lucas County,9144
OH,Madison County,363
OH,Mahoning County,4452
OH,Marion County,521
OH,Medina County,2291
OH,Meigs County,104
OH,Mercer County,252
OH,Miami County,1306
OH,Monroe County,73
OH,Montgomery County,12039
OH,Morgan County,61
OH,Morrow County,176
OH,Muskingum County,945
OH,Noble County,55
OH,Ottawa County,473
OH,Paulding County,115
OH,Perry County,131
OH,Pickaway County,407
OH,Pike County,132
OH,Portage County,2153
OH,Preble County,305
OH,Putnam County,575
OH,Richland County,2419
OH,Ross County,518
OH,Sandusky County,700
OH,Scioto County,1235
OH,Seneca County,991
OH,Shelby County,430
OH,Stark County,6207
OH,Summit County,9674
OH,Trumbull County,3640
OH,Tuscarawas County,1011
OH,Union County,528
OH,Van Wert County,313
OH,Vinton County,33
OH,Warren County,1989
OH,Washington County,1102
OH,Wayne County,931
OH,Williams County,327
OH,Wood County,2186
OH,Wyandot County,276
OK,Adair County,65
OK,Alfalfa County,19
OK,Atoka County,59
OK,Beaver County,13
OK,Beckham County,183
OK,Blaine County,184
OK,Bryan County,214
OK,Caddo County,269
OK,Canadian County,1583
OK,Carter County,521
OK,Cherokee County,371
OK,Choctaw County,91
OK,Cimarron County,9
OK,Cleveland County,3349
OK,Coal County,16
OK,Comanche County,1387
OK,Cotton County,32
OK,Craig County,107
OK,Creek County,899
OK,Custer County,273
OK,Delaware County,393
OK,Dewey County,11
OK,Ellis County,20
OK,Garfield County,459
OK,Garvin County,251
OK,Grady County,704
OK,Grant County,18
OK,Greer County,26
OK,Harmon County,9
OK,Harper County,11
OK,Haskell County,41
OK,Hughes County,79
OK,Jackson County,146
OK,Jefferson County,20
OK,Johnston County,48
OK,Kay County,429
OK,Kingfisher County,166
OK,Kiowa County,49
OK,Latimer County,35
OK,Le Flore County,242
OK,Lincoln County,242
OK,Logan County,561
OK,Love County,64
OK,Major County,33
OK,Marshall County,94
OK,Mayes County,381
OK,McClain County,587
OK,McCurtain County,177
OK,McIntosh County,138
OK,Murray County,145
OK,Muskogee County,863
OK,Noble County,124
OK,Nowata County,87
OK,Okfuskee County,42
OK,Oklahoma County,17808
OK,Okmulgee County,268
OK,Osage County,231
OK,Ottawa County,225
OK,Pawnee County,82
OK,Payne County,862
OK,Pittsburg County,298
OK,Pontotoc County,298
OK,Pottawatomie County,1061
OK,Pushmataha County,55
OK,Roger Mills County,4
OK,Rogers County,988
OK,Seminole County,136
OK,Sequoyah County,224
OK,Stephens County,391
OK,Texas County,76
OK,Tillman County,43
OK,Tulsa County,12765
OK,Wagoner County,487
OK,Washington County,952
OK,Washita County,46
OK,Woods County,65
OK,Woodward County,145
OR,Baker County,164
OR,Benton County,1217
OR,Clackamas County,4413
OR,Clatsop County,615
OR,Columbia County,426
OR,Coos County,593
OR,Crook County,223
OR,Curry County,263
OR,Deschutes County,2498
OR,Douglas County,2042
OR,Gilliam County,17
OR,Grant County,69
OR,Harney County,75
OR,Hood River County,176
OR,Jackson County,2000
OR,Jefferson County,180
OR,Josephine County,551
OR,Klamath County,602
OR,Lake County,64
OR,Lane County,6436
OR,Lincoln County,599
OR,Linn County,1879
OR,Malheur County,790
OR,Marion County,5227
OR,Morrow County,53
OR,Multnomah County,17386
OR,Polk County,602
OR,Sherman County,16
OR,Tillamook County,298
OR,Umatilla County,525
OR,Union County,220
OR,Wallowa County,84
OR,Wasco County,242
OR,Washington County,6621
OR,Wheeler County,10
OR,Yamhill County,1192
PA,Adams County,710
PA,Allegheny County,22417
PA,Armstrong County,453
PA,Beaver County,1929
PA,Bedford County,339
PA,Berks County,3975
PA,Blair County,1200
PA,Bradford County,370
PA,Bucks County,6845
PA,Butler County,2212
PA,Cambria County,1085
PA,Cameron County,41
PA,Carbon County,544
PA,Centre County,1845
PA,Chester County,5646
PA,Clarion County,379
PA,Clearfield County,869
PA,Clinton County,660
PA,Columbia County,1038
PA,Crawford County,693
PA,Cumberland County,2672
PA,Dauphin County,3833
PA,Delaware County,5795
PA,Elk County,293
PA,Erie County,3827
PA,Fayette County,1186
PA,Forest County,53
PA,Franklin County,1010
PA,Fulton County,79
PA,Greene County,216
PA,Huntingdon County,210
PA,Indiana County,740
PA,Jefferson County,344
PA,Juniata County,125
PA,Lackawanna County,3198
PA,Lancaster County,5123
PA,Lawrence County,1209
PA,Lebanon County,1021
PA,Lehigh County,5371
PA,Luzerne County,3921
PA,Lycoming County,2340
PA,McKean County,274
PA,Mercer County,1720
PA,Mifflin County,289
PA,Monroe County,1717
PA,Montgomery County,11899
PA,Montour County,323
PA,Northampton County,2860
PA,Northumberland County,1611
PA,Perry County,205
PA,Philadelphia County,23513
PA,Pike County,312
PA,Potter County,136
PA,Schuylkill County,1301
PA,Snyder County,542
PA,Somerset County,586
PA,Sullivan County,41
PA,Susquehanna County,201
PA,Tioga County,628
PA,Union County,634
PA,Venango County,432
PA,Warren County,249
PA,Washington County,2466
PA,Wayne County,387
PA,Westmoreland County,4394
PA,Wyoming County,158
PA,York County,4152
RI,Bristol County,535
RI,Kent County,2595
RI,Newport County,1053
RI,Providence County,11641
RI,Washington County,1350
SC,Abbeville County,231
SC,Aiken County,2092
SC,Allendale County,45
SC,Anderson County,3420
SC,Bamberg County,120
SC,Barnwell County,181
SC,Beaufort County,2141
SC,Berkeley County,2247
SC,Calhoun County,145
SC,Charleston County,9394
SC,Cherokee County,631
SC,Chester County,295
SC,Chesterfield County,333
SC,Clarendon County,406
SC,Colleton County,420
SC,Darlington County,636
SC,Dillon County,355
SC,Dorchester County,1752
SC,Edgefield County,142
SC,Fairfield County,149
SC,Florence County,2274
SC,Georgetown County,1111
SC,Greenville County,10002
SC,Greenwood County,738
SC,Hampton County,115
SC,Horry County,6560
SC,Jasper County,470
SC,Kershaw County,937
SC,Lancaster County,776
SC,Laurens County,765
SC,Lee County,117
SC,Lexington County,4645
SC,Marion County,711
SC,Marlboro County,312
SC,McCormick County,49
SC,Newberry County,354
SC,Oconee County,730
SC,Orangeburg County,1688
SC,Pickens County,1607
SC,Richland County,6589
SC,Saluda County,102
SC,Spartanburg County,6275
SC,Sumter County,1330
SC,Union County,187
SC,Williamsburg County,204
SC,York County,2746
SD,Aurora County,14
SD,Beadle County,139
SD,Bennett County,10
SD,Bon Homme County,33
SD,Brookings County,164
SD,Brown County,254
SD,Brule County,35
SD,Buffalo County,1
SD,Butte County,99
SD,Campbell County,4
SD,Charles Mix County,37
SD,Clark County,20
SD,Clay County,82
SD,Codington County,247
SD,Corson County,7
SD,Custer County,103
SD,Davison County,227
SD,Day County,39
SD,Deuel County,18
SD,Dewey County,9
SD,Douglas County,20
SD,Edmunds County,27
SD,Fall River County,107
SD,Faulk County,10
SD,Grant County,45
SD,Gregory County,13
SD,Haakon County,10
SD,Hamlin County,17
SD,Hand County,16
SD,Hanson County,2
SD,Harding County,3
SD,Hughes County,163
SD,Hutchinson County,25
SD,Hyde County,3
SD,Jackson County,15
SD,Jerauld County,11
SD,Jones County,9
SD,Kingsbury County,27
SD,Lake County,84
SD,Lawrence County,372
SD,Lincoln County,520
SD,Lyman County,13
SD,Marshall County,12
SD,McCook County,35
SD,McPherson County,11
SD,Meade County,194
SD,Miner County,13
SD,Minnehaha County,2083
SD,Moody County,19
SD,Oglala Lakota County,3
SD,Pennington County,1060
SD,Perkins County,18
SD,Potter County,15
SD,Roberts County,36
SD,Sanborn County,9
SD,Spink County,32
SD,Stanley County,27
SD,Sully County,8
SD,Todd County,7
SD,Tripp County,42
SD,Turner County,31
SD,Union County,148
SD,Walworth County,56
SD,Yankton County,167
SD,Ziebach County,1
TN,Anderson County,1278
TN,Bedford County,324
TN,Benton County,96
TN,Bledsoe County,56
TN,Blount County,1788
TN,Bradley County,1091
TN,Campbell County,397
TN,Cannon County,59
TN,Carroll County,191
TN,Carter County,302
TN,Cheatham County,228
TN,Chester County,66
TN,Claiborne County,390
TN,Clay County,40
TN,Cocke County,234
TN,Coffee County,570
